PS E:\课题研究> cd "e:\课题研究\" ; if ($?) { g++ -std=c++14 model_0_2.cpp -o model_0_2 } ; if ($?) { .\model_0_2 }
Point #N        Game    Score(A:B)      L_i             G_A             G_B             M_A             M_B
-------------------------------------------------------------------------------------------------------
1               1       1:0             0.147500        0.147500        0.000000        0.147500        0.000000
2               1       1:1             0.184100        0.000000        -0.184100       0.059177        -0.110240
3               1       2:1             0.172700        0.172700        0.000000        0.112753        -0.058213
5               1       4:1             0.200200        0.200200        0.000000        0.161489        -0.021124
6               1       5:1             0.187200        0.187200        0.000000        0.172019        -0.014153
7               1       6:1             0.172700        0.172700        0.000000        0.181139        0.000000
8               1       7:1             0.146000        0.146000        0.000000        0.168168        0.000000
9               1       8:1             0.094700        0.094700        0.000000        0.139895        0.000000
10              1       9:1             0.055100        0.055100        0.000000        0.104439        0.000000
11              1       10:1            0.022400        0.022400        0.000000        0.068878        0.000000
12              1       10:2            0.005800        0.000000        -0.005800       0.037252        -0.002213
13              1       11:2            0.009600        0.009600        0.000000        0.021101        -0.001483
14              2       1:0             0.158800        0.158800        0.000000        0.087661        -0.000748
15              2       2:0             0.174600        0.174600        0.000000        0.135135        -0.000344
16              2       2:1             0.191000        0.000000        -0.191000       0.082149        -0.082970
17              2       2:2             0.191800        0.000000        -0.191800       0.051060        -0.128827
18              2       3:2             0.170900        0.170900        0.000000        0.097442        -0.081737
19              2       3:3             0.199400        0.000000        -0.199400       0.057107        -0.130836
20              2       3:4             0.209900        0.000000        -0.209900       0.029268        -0.167739
21              2       3:5             0.180800        0.000000        -0.180800       0.019610        -0.171524
22              2       4:5             0.144100        0.144100        0.000000        0.068114        -0.105042
23              2       5:5             0.185400        0.185400        0.000000        0.107565        -0.070378
24              2       5:6             0.226400        0.000000        -0.226400       0.072069        -0.123256
25              2       6:6             0.206800        0.206800        0.000000        0.127182        -0.071770
26              2       7:6             0.268000        0.268000        0.000000        0.187456        -0.038773
27              2       8:6             0.298600        0.298600        0.000000        0.232092        -0.025978
28              2       8:7             0.276800        0.000000        -0.276800       0.145952        -0.123007
29              2       8:8             0.341200        0.000000        -0.341200       0.097788        -0.200924
30              2       9:8             0.368600        0.368600        0.000000        0.195490        -0.134619
31              2       9:9             0.424300        0.000000        -0.424300       0.117174        -0.252069
32              2       10:9            0.488200        0.488200        0.000000        0.249379        -0.168886
33              2       11:9            0.603400        0.603400        0.000000        0.397286        -0.098896
34              3       0:1             0.155800        0.000000        -0.155800       0.230600        -0.107787
35              3       0:2             0.142500        0.000000        -0.142500       0.100534        -0.129729
36              3       0:3             0.118300        0.000000        -0.118300       0.045932        -0.123011
37              3       0:4             0.100700        0.000000        -0.100700       0.015193        -0.117151
38              3       0:5             0.075000        0.000000        -0.075000       0.000000        -0.102942
39              3       0:6             0.052200        0.000000        -0.052200       0.000000        -0.080861
40              3       1:6             0.028900        0.028900        0.000000        0.011026        -0.046837
41              3       2:6             0.043100        0.043100        0.000000        0.023830        -0.025287
42              3       2:7             0.075000        0.000000        -0.075000       0.015966        -0.040369
43              3       3:7             0.042200        0.042200        0.000000        0.026797        -0.023184
44              3       3:8             0.075600        0.000000        -0.075600       0.017954        -0.041686
45              3       3:9             0.039400        0.000000        -0.039400       0.010541        -0.042961
46              3       3:10            0.016800        0.000000        -0.016800       0.004842        -0.035193
47              3       4:10            0.003600        0.003600        0.000000        0.004618        -0.019716
48              3       4:11            0.007100        0.000000        -0.007100       0.000920        -0.015919
49              4       1:0             0.167500        0.167500        0.000000        0.086916        -0.004187
50              4       1:1             0.182300        0.000000        -0.182300       0.053464        -0.087841
51              4       2:1             0.164100        0.164100        0.000000        0.103848        -0.053342
52              4       2:2             0.193500        0.000000        -0.193500       0.064591        -0.111104
53              4       2:3             0.184700        0.000000        -0.184700       0.040981        -0.140843
54              4       3:3             0.155700        0.155700        0.000000        0.078230        -0.094365
55              4       4:3             0.190500        0.190500        0.000000        0.125092        -0.053834
56              4       5:3             0.216900        0.216900        0.000000        0.158108        -0.036069
57              4       5:4             0.226700        0.000000        -0.226700       0.105932        -0.100687
58              4       5:5             0.236700        0.000000        -0.236700       0.070975        -0.148250
59              4       6:5             0.231400        0.231400        0.000000        0.127814        -0.099327
60              4       7:5             0.265800        0.265800        0.000000        0.177228        -0.066549
61              4       7:6             0.266200        0.000000        -0.266200       0.107571        -0.146146
62              4       7:7             0.291900        0.000000        -0.291900       0.072072        -0.197603
63              4       7:8             0.305500        0.000000        -0.305500       0.048288        -0.236753
65              4       7:10            0.185100        0.000000        -0.185100       0.000000        -0.245169
66              4       7:11            0.080600        0.000000        -0.080600       0.000000        -0.181301
67              5       1:0             0.148900        0.148900        0.000000        0.076852        -0.071771
68              5       2:0             0.168200        0.168200        0.000000        0.127147        -0.028461
69              5       3:0             0.174900        0.174900        0.000000        0.153675        -0.009384
70              5       4:0             0.190200        0.190200        0.000000        0.172298        -0.002029
71              5       4:1             0.172000        0.000000        -0.172000       0.109317        -0.065619
72              5       4:2             0.193400        0.000000        -0.193400       0.065573        -0.117749
73              5       5:2             0.207000        0.207000        0.000000        0.114242        -0.078892
74              5       6:2             0.209300        0.209300        0.000000        0.147383        -0.052857
75              5       7:2             0.179600        0.179600        0.000000        0.157469        -0.035414
76              5       7:3             0.128400        0.000000        -0.128400       0.105504        -0.063854
77              5       8:3             0.181800        0.181800        0.000000        0.140046        -0.032820
78              5       9:3             0.113900        0.113900        0.000000        0.126622        -0.021990
79              5       9:4             0.061400        0.000000        -0.061400       0.074056        -0.038158
80              5       10:4            0.092600        0.092600        0.000000        0.075694        -0.025566
81              5       11:4            0.032600        0.032600        0.000000        0.063152        -0.010515
